,horse_id,父,父父,父父父,父父父父,父父父父父,父父父父母,父父父母,父父父母父,父父父母母,父父母,父父母父,父父母父父,父父母父母,父父母母,父父母母父,父父母母母,父母,父母父,父母父父,父母父父父,父母父父母,父母父母,父母父母父,父母父母母,父母母,父母母父,父母母父父,父母母父母,父母母母,父母母母父,父母母母母,母,母父,母父父,母父父父,母父父父父,母父父父母,母父父母,母父父母父,母父父母母,母父母,母父母父,母父母父父,母父母父母,母父母母,母父母母父,母父母母母,母母,母母父,母母父父,母母父父父,母母父父母,母母父母,母母父母父,母母父母母,母母母,母母母父,母母母父父,母母母父母,母母母母,母母母母父,母母母母母
0,2006103319,"スペシャルウィーク
1995 黒鹿毛
[血統][産駒]
Halo系","サンデーサイレンス
Sunday Silence(米)
1986 青鹿毛
[血統][産駒]","Halo
1969 黒鹿毛
[血統][産駒]","Hail to Reason
1958 黒鹿毛",Turn-to,Nothirdchance,"Cosmah
1953 鹿毛",Cosmic Bomb,Almahmoud,"Wishing Well
1975 鹿毛
[血統][産駒]","Understanding
1963 栗毛",Promised Land,Pretty Ways,"Mountain Flower
1964 鹿毛",Montparnasse,Edelweiss,"キャンペンガール
1987 鹿毛
[血統][産駒]","マルゼンスキー
1974 鹿毛
[血統][産駒]","Nijinsky
1967 鹿毛",Northern Dancer,Flaming Page,"シル
1970 鹿毛",Buckpasser,Quill,"レディーシラオキ
1978 鹿毛
[血統][産駒]","セントクレスピン
1956 栗毛",Aureole,Neocracy,"ミスアシヤガワ
1964 鹿毛",ヒンドスタン,シラオキ,"ビワハイジ
1993 青鹿毛
[血統][産駒]","Caerleon
(米)
1980 鹿毛
[血統][産駒]","Nijinsky
1967 鹿毛
[血統][産駒]","Northern Dancer
1961 鹿毛",Nearctic,Natalma,"Flaming Page
1959 鹿毛",Bull Page,Flaring Top,"Foreseer
1969 黒鹿毛
[血統][産駒]","Round Table
1954 鹿毛",Princequillo,Knights Daughter,"Regal Gleam
1964 黒鹿毛",Hail to Reason,Miz Carol,"アグサン
Aghsan(愛)
1985 青毛
[血統][産駒]","Lord Gayle
1965 黒鹿毛
[血統][産駒]","Sir Gaylord
1959 黒鹿毛",Turn-to,Somethingroyal,"Sticky Case
1958 栗毛",Court Martial,Run Honey,"Santa Luciana
1973 黒鹿毛
[血統][産駒]","Luciano
1964 鹿毛",Henry the Seventh,Light Arctic,"Suleika
1954 黒鹿毛",Ticino,Schwarzblaurot
1,2009106253,"ディープインパクト
2002 鹿毛
[血統][産駒]
Halo系","サンデーサイレンス
Sunday Silence(米)
1986 青鹿毛
[血統][産駒]","Halo
1969 黒鹿毛
[血統][産駒]","Hail to Reason
1958 黒鹿毛",Turn-to,Nothirdchance,"Cosmah
1953 鹿毛",Cosmic Bomb,Almahmoud,"Wishing Well
1975 鹿毛
[血統][産駒]","Understanding
1963 栗毛",Promised Land,Pretty Ways,"Mountain Flower
1964 鹿毛",Montparnasse,Edelweiss,"ウインドインハーヘア
Wind in Her Hair(愛)
1991 鹿毛
[血統][産駒]","Alzao
1980 鹿毛
[血統][産駒]","Lyphard
1969 鹿毛",Northern Dancer,Goofed,"Lady Rebecca
1971 鹿毛",Sir Ivor,Pocahontas,"Burghclere
1977 鹿毛
[血統][産駒]","Busted
1963 栗毛",Crepello,Sans le Sou,"Highclere
1971 鹿毛",Queen's Hussar,Highlight,"ドナブリーニ
Donna Blini(英)
2003 栗毛
[血統][産駒]
FNo.[16-f]","Bertolini
1996 鹿毛
[血統][産駒]","Danzig
1977 鹿毛
[血統][産駒]","Northern Dancer
1961 鹿毛",Nearctic,Natalma,"Pas de Nom
1968 黒鹿毛",Admiral's Voyage,Petitioner,"Aquilegia
1989 黒鹿毛
[血統][産駒]","Alydar
1975 栗毛",Raise a Native,Sweet Tooth,"Courtly Dee
1968 黒鹿毛",Never Bend,Tulle,"Cal Norma's Lady
1988 栗毛
[血統][産駒]","リファーズスペシャル
Lyphard's Special(米)
1980 鹿毛
[血統][産駒]","Lyphard
1969 鹿毛",Northern Dancer,Goofed,"My Bupers
1967 黒鹿毛",Bupers,Princess Revoked,"June Darling
1983 鹿毛
[血統][産駒]","ジュニアス
1976 黒鹿毛",Raja Baba,Solid Thought,"Beau Darling
1966 栗毛",Darling Boy,Fair Astronomer
2,2004104258,"タニノギムレット
1999 鹿毛
[血統][産駒]
Roberto系","ブライアンズタイム
Brian's Time(米)
1985 黒鹿毛
[血統][産駒]","Roberto
1969 鹿毛
[血統][産駒]","Hail to Reason
1958 黒鹿毛",Turn-to,Nothirdchance,"Bramalea
1959 黒鹿毛",Nashua,Rarelea,"Kelley's Day
1977 鹿毛
[血統][産駒]","Graustark
1963 栗毛",Ribot,Flower Bowl,"Golden Trail
1958 黒鹿毛",Hasty Road,Sunny Vale,"タニノクリスタル
1988 栗毛
[血統][産駒]","クリスタルパレス
Crystal Palace(仏)
1974 芦毛
[血統][産駒]","Caro
1967 芦毛",フォルティノ,Chambord,"Hermieres
1958 栗毛",Sicambre,Vieille Pierre,"タニノシーバード
Tanino Sea-Bird(米)
1972 栗毛
[血統][産駒]","Sea-Bird
1962 栗毛",Dan Cupid,Sicalade,"Flaxen
1968 栗毛",Graustark,Flavia,"タニノシスター
1993 栗毛
[血統][産駒]
FNo.[3-l]","ルション
Rousillon(米)
1981 黒鹿毛
[血統][産駒]","Riverman
1969 鹿毛
[血統][産駒]","Never Bend
1960 鹿毛",Nasrullah,Lalun,"River Lady
1963 鹿毛",Prince John,Nile Lily,"ベルドリーヌ
Belle Dorine(米)
1977 黒鹿毛
[血統][産駒]","Marshua's Dancer
1968 鹿毛",Raise a Native,Marshua,"Palsy Walsy
1960 栗毛",Sea O Erin,Allie's Pal,"エナジートウショウ
1987 鹿毛
[血統][産駒]","トウショウボーイ
1973 鹿毛
[血統][産駒]","テスコボーイ
1963 黒鹿毛",Princely Gift,Suncourt,"ソシアルバターフライ
1957 鹿毛",Your Host,Wisteria,"コーニストウショウ
1977 栗毛
[血統][産駒]","ダンディルート
1972 鹿毛",Luthier,Dentrelic,"ローズトウショウ
1965 鹿毛",テューダーペリオッド,ワカシラオキ
3,2014106220,"ハーツクライ
2001 鹿毛
[血統][産駒]
Halo系","サンデーサイレンス
Sunday Silence(米)
1986 青鹿毛
[血統][産駒]","Halo
1969 黒鹿毛
[血統][産駒]","Hail to Reason
1958 黒鹿毛",Turn-to,Nothirdchance,"Cosmah
1953 鹿毛",Cosmic Bomb,Almahmoud,"Wishing Well
1975 鹿毛
[血統][産駒]","Understanding
1963 栗毛",Promised Land,Pretty Ways,"Mountain Flower
1964 鹿毛",Montparnasse,Edelweiss,"アイリッシュダンス
1990 鹿毛
[血統][産駒]","トニービン
Tony Bin(愛)
1983 鹿毛
[血統][産駒]","カンパラ
1976 黒鹿毛",Kalamoun,State Pension,"Severn Bridge
1965 栗毛",Hornbeam,Priddy Fair,"ビューパーダンス
Buper Dance(米)
1983 黒鹿毛
[血統][産駒]","Lyphard
1969 鹿毛",Northern Dancer,Goofed,"My Bupers
1967 黒鹿毛",Bupers,Princess Revoked,"リリサイド
Liliside(仏)
2007 鹿毛
[血統][産駒]
FNo.[1-l]","American Post
2001 黒鹿毛
[血統][産駒]","Bering
1983 栗毛
[血統][産駒]","Arctic Tern
1973 栗毛",Sea-Bird,Bubbling Beauty,"Beaune
1974 栗毛",Lyphard,Barbra,"Wells Fargo
1996 鹿毛
[血統][産駒]","Sadler's Wells
1981 鹿毛",Northern Dancer,Fairy Bridge,"Cruising Height
1987 鹿毛",Shirley Heights,Nomadic Pleasure,"Miller's Lily
1988 鹿毛
[血統][産駒]","ミラーズメイト
Miller's Mate(英)
1982 黒鹿毛
[血統][産駒]","Mill Reef
1968 鹿毛",Never Bend,Milan Mill,"Primatie
1975 鹿毛",Vaguely Noble,Pistol Packer,"Lymara
1978 鹿毛
[血統][産駒]","Lyphard
1969 鹿毛",Northern Dancer,Goofed,"Maradadi
1969 黒鹿毛",The Marshal,Dilly-Dally
4,1993109154,"トニービン
Tony Bin(愛)
1983 鹿毛
[血統][産駒]
ゼダーン系","カンパラ
Kampala(英)
1976 黒鹿毛
[血統][産駒]","Kalamoun
1970 芦毛
[血統][産駒]","ゼダーン
1965 芦毛",Grey Sovereign,Vareta,"Khairunissa
1960 芦毛",Prince Bio,Palariva,"State Pension
1967 鹿毛
[血統][産駒]","オンリーフォアライフ
1960 黒鹿毛",Chanteur,Life Sentence,"Lorelei
1950 鹿毛",Prince Chevalier,Rock Goddess,"Severn Bridge
1965 栗毛
[血統][産駒]","Hornbeam
1953 栗毛
[血統][産駒]","Hyperion
1930 栗毛",Gainsborough,Selene,"Thicket
1947 栗毛",Nasrullah,Thorn Wood,"Priddy Fair
1956 鹿毛
[血統][産駒]","Preciptic
1942 栗毛",Precipitation,Artistic,"Campanette
1948 鹿毛",Fair Trial,Calluna,"ダイナカール
1980 鹿毛
[血統][産駒]
FNo.[8-f]","ノーザンテースト
Northern Taste(加)
1971 栗毛
[血統][産駒]","Northern Dancer
1961 鹿毛
[血統][産駒]","Nearctic
1954 黒鹿毛",Nearco,Lady Angela,"Natalma
1957 鹿毛",Native Dancer,Almahmoud,"Lady Victoria
1962 黒鹿毛
[血統][産駒]","Victoria Park
1957 鹿毛",Chop Chop,Victoriana,"Lady Angela
1944 栗毛",Hyperion,Sister Sarah,"シャダイフェザー
1973 鹿毛
[血統][産駒]","ガーサント
1949 鹿毛
[血統][産駒]","Bubbles
1925 栗毛",La Farina,Spring Cleaning,"Montagnana
1937 鹿毛",Brantome,Mauretania,"パロクサイド
(英)
1959 栗毛
[血統][産駒]","Never Say Die
1951 栗毛",Nasrullah,Singing Grass,"Feather Ball
1952 栗毛",Big Game,Sweet Cygnet
5,2004103198,"アグネスタキオン
1998 栗毛
[血統][産駒]
Halo系","サンデーサイレンス
Sunday Silence(米)
1986 青鹿毛
[血統][産駒]","Halo
1969 黒鹿毛
[血統][産駒]","Hail to Reason
1958 黒鹿毛",Turn-to,Nothirdchance,"Cosmah
1953 鹿毛",Cosmic Bomb,Almahmoud,"Wishing Well
1975 鹿毛
[血統][産駒]","Understanding
1963 栗毛",Promised Land,Pretty Ways,"Mountain Flower
1964 鹿毛",Montparnasse,Edelweiss,"アグネスフローラ
1987 鹿毛
[血統][産駒]","ロイヤルスキー
1974 栗毛
[血統][産駒]","Raja Baba
1968 鹿毛",Bold Ruler,Missy Baba,"Coz o'Nijinsky
1969 栗毛",Involvement,Gleam,"アグネスレディー
1976 鹿毛
[血統][産駒]","リマンド
1965 栗毛",Alcide,Admonish,"イコマエイカン
1967 鹿毛",Sallymount,ヘザーランズ,"スカーレットブーケ
1988 栗毛
[血統][産駒]
FNo.[4-d]","ノーザンテースト
Northern Taste(加)
1971 栗毛
[血統][産駒]","Northern Dancer
1961 鹿毛
[血統][産駒]","Nearctic
1954 黒鹿毛",Nearco,Lady Angela,"Natalma
1957 鹿毛",Native Dancer,Almahmoud,"Lady Victoria
1962 黒鹿毛
[血統][産駒]","Victoria Park
1957 鹿毛",Chop Chop,Victoriana,"Lady Angela
1944 栗毛",Hyperion,Sister Sarah,"スカーレットインク
Scarlet Ink(米)
1971 栗毛
[血統][産駒]","Crimson Satan
1959 栗毛
[血統][産駒]","Spy Song
1943 黒鹿毛",Balladier,Mata Hari,"Papila
1943 栗毛",Requiebro,Papalona,"Consentida
1962 鹿毛
[血統][産駒]","Beau Max
1947 鹿毛",Bull Lea,Bee Mac,"La Menina
1958 栗毛",Royal Charger,Your Hostess
6,2001104313,"エンドスウィープ
End Sweep(米)
1991 鹿毛
[血統][産駒]
Mr. Prospector系","フォーティナイナー
Forty Niner(米)
1985 栗毛
[血統][産駒]","Mr. Prospector
1970 鹿毛
[血統][産駒]","Raise a Native
1961 栗毛",Native Dancer,Raise You,"Gold Digger
1962 鹿毛",Nashua,Sequence,"File
1976 栗毛
[血統][産駒]","Tom Rolfe
1962 鹿毛",Ribot,Pocahontas,"Continue
1958 青鹿毛",Double Jay,Courtesy,"Broom Dance
1979 鹿毛
[血統][産駒]","Dance Spell
1973 鹿毛
[血統][産駒]","Northern Dancer
1961 鹿毛",Nearctic,Natalma,"Obeah
1965 鹿毛",Cyane,Book of Verse,"Witching Hour
1960 鹿毛
[血統][産駒]","Thinking Cap
1952 鹿毛",Rosemont,Camargo,"Enchanted Eve
1949 栗毛",Lovely Night,Poupee,"タバサトウショウ
1993 鹿毛
[血統][産駒]
FNo.[5-j]","ダンシングブレーヴ
Dancing Brave(米)
1983 鹿毛
[血統][産駒]","Lyphard
1969 鹿毛
[血統][産駒]","Northern Dancer
1961 鹿毛",Nearctic,Natalma,"Goofed
1960 栗毛",Court Martial,Barra,"Navajo Princess
1974 鹿毛
[血統][産駒]","Drone
1966 芦毛",Sir Gaylord,Cap and Bells,"Olmec
1966 栗毛",Pago Pago,Chocolate Beau,"サマンサトウショウ
1985 黒鹿毛
[血統][産駒]","トウショウボーイ
1973 鹿毛
[血統][産駒]","テスコボーイ
1963 黒鹿毛",Princely Gift,Suncourt,"ソシアルバターフライ
1957 鹿毛",Your Host,Wisteria,"マーブルトウショウ
1978 青鹿毛
[血統][産駒]","ダンディルート
1972 鹿毛",Luthier,Dentrelic,"チヤイナトウショウ
1972 栗毛",チャイナロック,キラクハート
7,1994108393,"メジロライアン
1987 鹿毛
[血統][産駒]
ノーザンテースト系","アンバーシャダイ
1977 鹿毛
[血統][産駒]","ノーザンテースト
Northern Taste(加)
1971 栗毛
[血統][産駒]","Northern Dancer
1961 鹿毛",Nearctic,Natalma,"Lady Victoria
1962 黒鹿毛",Victoria Park,Lady Angela,"クリアアンバー
Clear Amber(米)
1967 黒鹿毛
[血統][産駒]","Ambiopoise
1958 黒鹿毛",Ambiorix,Bull Poise,"One Clear Call
1960 鹿毛",Gallant Man,Europa,"メジロチェイサー
1977 鹿毛
[血統][産駒]","メジロサンマン
1963 鹿毛
[血統][産駒]","Charlottesville
1957 鹿毛",Prince Chevalier,Noorani,"パラデイシア
1957 鹿毛",Aureole,Chenille,"シエリル
Cheryl(仏)
1971 鹿毛
[血統][産駒]","スノッブ
1959 鹿毛",Mourne,Senones,"Chanel
1961 鹿毛",Pan,Barley Corn,"メジロビューティー
1982 鹿毛
[血統][産駒]
FNo.[10-d]","パーソロン
Partholon(愛)
1960 鹿毛
[血統][産駒]","Milesian
1953 鹿毛
[血統][産駒]","My Babu
1945 鹿毛",Djebel,Perfume,"Oatflake
1942 鹿毛",Coup de Lyon,Avena,"Paleo
1953 鹿毛
[血統][産駒]","Pharis
1936 黒鹿毛",Pharos,Carissima,"Calonice
1940 栗毛",Abjer,Coronis,"メジロナガサキ
1971 栗毛
[血統][産駒]","ネヴァービート
Never Beat(英)
1960 栃栗毛
[血統][産駒]","Never Say Die
1951 栗毛",Nasrullah,Singing Grass,"Bride Elect
1952 鹿毛",Big Game,Netherton Maid,"メジロボサツ
1963 栗毛
[血統][産駒]","モンタヴァル
1953 鹿毛",Norseman,Ballynash,"メジロクイン
1957 鹿毛",シマタカ,コウゲン
8,1991109852,"Theatrical
1982 黒鹿毛
[血統][産駒]
Nureyev系","Nureyev
1977 鹿毛
[血統][産駒]","Northern Dancer
1961 鹿毛
[血統][産駒]","Nearctic
1954 黒鹿毛",Nearco,Lady Angela,"Natalma
1957 鹿毛",Native Dancer,Almahmoud,"Special
1969 鹿毛
[血統][産駒]","Forli
1963 栗毛",Aristophanes,Trevisa,"Thong
1964 鹿毛",Nantallah,Rough Shod,"ツリーオブノレッジ
Tree of Knowledge(愛)
1977 鹿毛
[血統][産駒]","Sassafras
1967 鹿毛
[血統][産駒]","Sheshoon
1956 栗毛",Precipitation,Noorani,"Ruta
1960 鹿毛",ラティフィケイション,Dame d'Atour,"Sensibility
1971 鹿毛
[血統][産駒]","Hail to Reason
1958 黒鹿毛",Turn-to,Nothirdchance,"Pange
1955 栗毛",キングスベンチ,York Gala,"Katies
1981 黒鹿毛
[血統][産駒]
FNo.[7-f]","ノノアルコ
1971 鹿毛
[血統][産駒]","Nearctic
1954 黒鹿毛
[血統][産駒]","Nearco
1935 黒鹿毛",Pharos,Nogara,"Lady Angela
1944 栗毛",Hyperion,Sister Sarah,"Seximee
1966 栗毛
[血統][産駒]","Hasty Road
1951 鹿毛",Roman,Traffic Court,"Jambo
1959 栗毛",Crafty Admiral,Bank Account,"Mortefontaine
1969 鹿毛
[血統][産駒]","ポリック
Polic(仏)
1953 黒鹿毛
[血統][産駒]","Relic
1945 青毛",War Relic,Bridal Colors,"Polaire
1947 黒鹿毛",Le Volcan,Stella Polaris,"Brabantia
1953 黒鹿毛
[血統][産駒]","Honeyway
1941 鹿毛",Fairway,Honey Buzzard,"Porthaven
1943 鹿毛",Portlaw,Peaceful Light
9,1994103266,"アイネスフウジン
1987 黒鹿毛
[血統][産駒]
Herbager系","シーホーク
1963 芦毛
[血統][産駒]","Herbager
1956 芦毛
[血統][産駒]","Vandale
1943 鹿毛",Plassy,Vanille,"Flagette
1951 栗毛",Escamillo,Fidgette,"Sea Nymph
1957 芦毛
[血統][産駒]","Free Man
1948 鹿毛",Norseman,Fantine,"Sea Spray
1947 栗毛",Ocean Swell,Pontoon,"テスコパール
1976 栗毛
[血統][産駒]","テスコボーイ
Tesco Boy(英)
1963 黒鹿毛
[血統][産駒]","Princely Gift
1951 鹿毛",Nasrullah,Blue Gem,"Suncourt
1952 黒鹿毛",Hyperion,Inquisition,"ムツミパール
1965 鹿毛
[血統][産駒]","モンタヴァル
1953 鹿毛",Norseman,Ballynash,"マサリユウ
1955 鹿毛",トサミドリ,ユキツキ,"ザラストワード
1987 鹿毛
[血統][産駒]
FNo.[2-b]","ノーザンテースト
Northern Taste(加)
1971 栗毛
[血統][産駒]","Northern Dancer
1961 鹿毛
[血統][産駒]","Nearctic
1954 黒鹿毛",Nearco,Lady Angela,"Natalma
1957 鹿毛",Native Dancer,Almahmoud,"Lady Victoria
1962 黒鹿毛
[血統][産駒]","Victoria Park
1957 鹿毛",Chop Chop,Victoriana,"Lady Angela
1944 栗毛",Hyperion,Sister Sarah,"グロリアウエーブ
1978 黒鹿毛
[血統][産駒]","シルバーシャーク
1963 芦毛
[血統][産駒]","Buisson Ardent
1953 鹿毛",Relic,Rose O'Lynn,"Palsaka
1954 芦毛",Palestine,Masaka,"ブルーウェーブ
Blue Wave(新)
1970 鹿毛
[血統][産駒]","Neanderthal
1958 栗毛",Nearula,Marteline,"Capriann
1959 黒鹿毛",Scarlet Emperor,Lady Prudence
