,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1995/12/31,水沢,曇,8,桐花賞1(G),10,2,2,&nbsp;,1,1,菅原勲,56,ダ2000,不,2:11.7,-0.4,&nbsp;,&nbsp;,&nbsp;,507(+10),(ヘイセイシルバー),"1,500.0"
1,1995/10/10,水沢,晴,10,南部杯1(G),10,4,4,&nbsp;,2,3,菅原勲,56,ダ1600,良,1:41.2,0.6,&nbsp;,&nbsp;,&nbsp;,497(-1),ライブリマウント,"1,000.0"
2,1995/09/11,水沢,曇,9,フレンドリーC1(G),10,1,1,&nbsp;,1,1,菅原勲,56,ダ2000,稍,2:07.5,-0.9,&nbsp;,&nbsp;,&nbsp;,498(-10),(ヘイセイシルバー),"1,800.0"
3,1995/07/30,盛岡,晴,10,みちのく大賞典1(G),8,5,5,&nbsp;,1,2,菅原勲,55,ダ2000,良,2:07.8,0.1,&nbsp;,&nbsp;,&nbsp;,508(+7),モリユウプリンス,700.0
4,1995/05/21,水沢,曇,10,シアンモア記念1(G),8,3,3,&nbsp;,1,1,菅原勲,59,ダ2000,良,2:11.7,-0.1,&nbsp;,&nbsp;,&nbsp;,502(-11),(モリユウプリンス),"1,500.0"
5,1994/12/05,水沢,小雪,9,フレンドリーC1(G),10,8,10,&nbsp;,1,1,菅原勲,55,ダ2000,重,2:11.6,-0.1,&nbsp;,&nbsp;,&nbsp;,512(-2),(モリユウプリンス),"1,500.0"
6,1994/11/06,盛岡,曇,9,北上川大賞典(G),8,3,3,&nbsp;,1,1,菅原勲,57,ダ2500,良,2:46.3,-0.4,&nbsp;,&nbsp;,&nbsp;,514(+9),(ユウユウサンボーイ),"1,500.0"
7,1994/09/25,水沢,曇,9,南部杯(G),10,3,3,&nbsp;,1,1,菅原勲,56,ダ1600,不,1:39.5,-0.9,&nbsp;,&nbsp;,&nbsp;,505(0),(サクラグットオー),"3,000.0"
8,1994/07/31,盛岡,曇,9,みちのく大賞典1(G),8,4,4,&nbsp;,1,2,菅原勲,55,ダ2000,良,2:06.5,0.3,&nbsp;,&nbsp;,&nbsp;,516(+8),モリユウプリンス,700.0
9,1994/06/05,水沢,曇,9,シアンモア記念1(G),10,5,5,&nbsp;,1,1,菅原勲,58,ダ2000,良,2:11.0,-0.1,&nbsp;,&nbsp;,&nbsp;,508(-3),(モリユウプリンス),"1,500.0"
10,1994/05/08,水沢,曇,9,赤松杯1,8,1,1,&nbsp;,1,1,菅原勲,57,ダ1900,良,2:04.2,-0.3,&nbsp;,&nbsp;,&nbsp;,511(-2),(モリユウプリンス),500.0
11,1993/12/30,水沢,晴,7,桐花賞1(G),10,4,4,&nbsp;,1,1,菅原勲,56,ダ2000,重,2:07.2,-0.3,&nbsp;,&nbsp;,&nbsp;,513(+4),(モリユウプリンス),"1,500.0"
12,1993/11/23,水沢,曇,9,南部杯(G),10,5,5,&nbsp;,1,1,菅原勲,56,ダ1600,重,1:39.8,-0.1,&nbsp;,&nbsp;,&nbsp;,509(-3),(オーディン),"3,000.0"
13,1993/10/24,盛岡,曇,9,北上川大賞典(G),8,5,5,&nbsp;,1,1,菅原勲,57,ダ2500,稍,2:45.3,-0.4,&nbsp;,&nbsp;,&nbsp;,512(+7),(モリユウプリンス),"1,500.0"
14,1993/09/15,新潟(地),晴,9,東北サラ大賞典A1(G),10,5,5,&nbsp;,1,1,菅原勲,56,ダ1800,稍,1:55.2,-0.3,&nbsp;,&nbsp;,&nbsp;,505(-8),(モリユウプリンス),"1,000.0"
15,1993/08/01,盛岡,曇,9,みちのく大賞典1(G),8,8,8,&nbsp;,2,1,菅原勲,55,ダ2000,稍,2:03.9,-0.5,&nbsp;,&nbsp;,&nbsp;,513(-2),(モリユウプリンス),"2,000.0"
