,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2003/03/30,4中山2,晴,11,マーチS(G3),16,7,13,19.6,9,12,後藤浩輝,56,ダ1800,良,1:54.9,2.9,11-11-7-5,35.7-39.5,41.2,480(-2),スマートボーイ,&nbsp;
1,2003/03/02,3中山2,晴,11,中山記念(G2),12,6,7,21.3,7,7,中舘英二,57,芝1800,重,1:49.1,1.5,6-6-7-6,36.4-36.3,36.9,482(-6),ローエングリン,&nbsp;
2,2002/02/24,1中山2,晴,11,中山記念(G2),14,5,7,5.4,3,3,田中勝春,57,芝1800,良,1:45.5,0.1,7-9-11-11,35.7-35.0,34.2,488(-2),トウカイポイント,"1,616.6"
3,2002/01/13,1京都5,晴,11,日経新春杯(G2),12,6,7,2.3,1,6,武豊,57,芝2400,良,2:27.0,0.6,2-2-3-3,36.8-34.9,35.0,490(+8),トップコマンダー,&nbsp;
4,2001/11/25,5東京8,晴,9,キャピタルS(OP),11,8,10,9.3,5,6,柴田善臣,56,芝1600,良,1:34.8,0.8,3-3,35.2-35.3,35.7,482(+12),プラウドウイングス,&nbsp;
5,2000/06/25,3阪神4,雨,11,宝塚記念(G1),11,7,8,8.6,3,5,武豊,58,芝2200,良,2:14.3,0.5,10-10-4-1,35.7-36.0,36.5,470(-2),テイエムオペラオー,"1,320.0"
6,2000/05/27,2中京3,雨,11,金鯱賞(G2),11,7,8,1.3,1,3,武豊,57,芝2000,稍,1:58.8,0.3,5-5-5-4,34.5-36.5,34.7,472(-6),メイショウドトウ,"1,614.0"
7,2000/04/30,3京都4,曇,11,天皇賞(春)(G1),12,2,2,4.0,3,2,武豊,58,芝3200,良,3:17.7,0.1,10-10-9-7,35.6-34.6,34.2,478(-2),テイエムオペラオー,"5,376.8"
8,2000/03/19,1阪神8,雨,11,阪神大賞典(G2),9,3,3,2.6,2,2,武豊,56,芝3000,稍,3:09.8,0.4,6-6-6-6,35.5-37.2,35.5,480(0),テイエムオペラオー,"2,618.8"
9,2000/01/09,1京都4,曇,10,万葉S(OP),10,8,10,1.1,1,1,武豊,54,芝3000,良,3:13.3,-0.2,4-4-3-3,39.5-34.6,34.2,480(+6),(トシザブイ),"2,427.3"
10,1999/11/28,5東京8,晴,10,ジャパンC(G1),14,4,6,10.6,4,5,柴田善臣,55,芝2400,良,2:26.5,1.0,7-8-9-9,36.3-36.7,36.7,474(-4),スペシャルウィーク,"1,320.0"
11,1999/11/07,5京都2,晴,11,菊花賞(G1),15,3,5,21.5,4,3,蛯名正義,57,芝3000,良,3:07.7,0.1,11-11-9-9,39.1-34.2,33.9,478(0),ナリタトップロード,"3,418.5"
12,1999/09/19,4阪神4,晴,11,神戸新聞杯(G2),11,4,4,2.8,2,3,武豊,56,芝2000,良,2:01.4,0.2,1-1-1-1,36.7-35.4,35.6,478(+4),オースミブライト,"1,412.4"
13,1999/08/07,1札幌1,曇,9,日高特別(900万下),8,5,5,1.4,1,1,武豊,55,芝2000,稍,2:01.7,-0.1,3-3-3-3,36.4-37.9,35.6,474(+4),(ロードクロノス),"1,471.7"
14,1999/07/10,2函館1,晴,9,北洋特別(500万下),10,8,10,1.4,1,1,武豊,55,芝2000,良,2:02.3,-0.5,2-2-2-2,36.2-36.2,35.8,470(-4),(ロードサクセサー),"1,084.3"
15,1999/06/26,1函館5,曇,4,4歳未勝利,8,7,7,1.4,1,1,武豊,55,芝1800,良,1:52.2,-0.9,1-1-2-2,38.0-36.1,36.0,474(0),(マリーシャンタル),510.0
