,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1999/11/21,5京都6,晴,11,マイルチャンピオンS(G1),18,3,6,2.2,1,1,蛯名正義,57,芝1600,良,1:32.8,-0.2,7-5,34.3-35.3,34.4,504(+6),(キングヘイロー),"9,807.4"
1,1999/10/31,4東京8,晴,11,天皇賞(秋)(G1),17,1,1,8.3,5,3,蛯名正義,58,芝2000,良,1:58.2,0.2,5-5-4,35.0-36.3,35.6,498(+4),スペシャルウィーク,"3,354.0"
2,1999/06/13,3東京8,晴,11,安田記念(G1),14,7,12,17.7,4,1,蛯名正義,58,芝1600,良,1:33.3,0.0,10-7,35.2-35.4,35.1,494(-6),(グラスワンダー),"9,736.0"
3,1999/05/15,2東京7,曇,11,京王杯スプリングC(G2),18,8,18,8.8,4,2,蛯名正義,56,芝1400,良,1:20.6,0.1,2-2,34.9-34.1,34.0,500(+2),グラスワンダー,"2,441.6"
4,1999/04/25,1新潟2,曇,11,谷川岳S(OP),15,8,14,2.2,1,2,橋本広喜,56,芝1600,良,1:32.5,0.0,6-5,34.2-35.1,34.7,498(0),ナリタプロテクター,971.2
5,1998/11/28,5東京7,晴,11,富士S(G3),15,3,5,6.2,4,1,橋本広喜,54,芝1400,良,1:23.0,0.0,4-5,36.0-35.5,35.2,498(+6),(プレストシンボリ),"4,357.4"
6,1998/11/14,5東京3,晴,9,奥多摩S(1600万下),14,5,7,3.7,2,1,橋本広喜,55,芝1400,良,1:22.2,-0.1,3-2,34.9-35.3,35.3,492(+2),(ワカサバロン),"1,831.5"
7,1998/10/18,4東京4,晴,12,4歳以上900万下,9,7,7,2.9,1,1,橋本広喜,55,芝1600,重,1:36.4,-0.2,5-5,36.2-36.4,36.0,490(+12),(コンキスタクラウン),"1,050.0"
8,1998/05/17,2東京8,晴,11,NHKマイルC(G1),17,8,16,60.5,10,8,橋本広喜,57,芝1600,稍,1:34.5,0.8,8-12,35.0-35.2,35.2,478(-4),エルコンドルパサー,&nbsp;
9,1998/03/22,2中山8,曇,11,フジTVスプリングS(G2),15,5,8,4.0,2,4,武豊,56,芝1800,稍,1:50.1,0.3,12-12-12-9,37.2-37.0,36.3,482(+12),クリールサイクロン,810.0
10,1998/02/01,1東京2,晴,7,カトレア賞(500万下),15,6,11,5.8,3,1,武豊,55,ダ1200,良,1:13.6,-0.2,10-9,35.8-37.8,36.8,470(+4),(アイアムアブラザー),"1,041.3"
11,1997/12/07,5中山4,曇,5,3歳新馬,10,5,5,1.8,1,1,武豊,54,芝1200,良,1:10.8,-0.6,4-3,34.9-35.9,35.6,466(0),(ファーディーン),600.0
