,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2013/06/23,3阪神8,曇,11,宝塚記念(G1),11,5,5,47.2,6,10,酒井学,58,芝2200,良,2:15.4,2.2,1-1-1-1,34.7-38.0,40.2,514(+4),ゴールドシップ,&nbsp;
1,2013/06/02,3東京2,晴,11,安田記念(G1),18,7,13,119.8,17,18,酒井学,58,芝1600,良,1:32.9,1.4,1-1,33.9-34.5,35.9,510(+4),ロードカナロア,&nbsp;
2,2013/05/11,2東京7,雨,11,京王杯スプリングC(G2),18,6,11,14.8,8,16,酒井学,56,芝1400,稍,1:21.7,1.1,5-5,33.9-34.9,35.7,506(-2),ダイワマッジョーレ,&nbsp;
3,2013/04/21,3京都2,晴,11,読売マイラーズC(G2),18,7,13,8.9,4,14,松岡正海,57,芝1600,良,1:33.3,0.7,2-2,34.1-35.3,35.9,508(+4),グランプリボス,&nbsp;
4,2013/02/24,2中山2,晴,11,中山記念(G2),15,5,9,13.3,8,3,松岡正海,57,芝1800,良,1:47.3,0.0,1-1-1-1,36.2-37.3,37.3,504(0),ナカヤマナイト,"1,516.0"
5,2012/12/24,5阪神9,晴,11,阪神C(G2),18,4,8,13.0,5,14,川田将雅,57,芝1400,良,1:21.8,0.8,1-1,34.3-35.5,36.3,504(-4),サンカルロ,&nbsp;
6,2012/11/18,5京都6,晴,11,マイルチャンピオンS(G1),18,6,12,18.5,10,4,川田将雅,57,芝1600,稍,1:33.2,0.3,1-1,35.0-34.7,35.0,508(+4),サダムパテック,"1,500.0"
7,2012/10/28,4東京9,曇,11,天皇賞(秋)(G1),18,1,2,74.7,12,12,小牧太,58,芝2000,良,1:58.6,1.3,1-1-1,34.8-36.6,37.9,504(+4),エイシンフラッシュ,&nbsp;
8,2012/10/07,4東京2,晴,11,毎日王冠(G2),16,1,1,21.5,8,14,小牧太,57,芝1800,良,1:46.1,1.1,1-1-1,34.5-35.4,36.5,500(0),カレンブラックヒル,&nbsp;
9,2012/06/03,3東京2,曇,11,安田記念(G1),18,7,13,11.4,6,12,小牧太,58,芝1600,良,1:32.2,0.9,1-1,33.8-35.0,35.9,500(0),ストロングリターン,&nbsp;
