,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1998/02/28,1中京1,晴,11,中日新聞杯(G3),16,3,5,39.5,9,16,宝来城多,58,芝1800,良,1:49.8,1.6,10-10-13-13,36.5-34.9,35.8,496(+14),ツルマルガイセン,&nbsp;
1,1997/06/15,3阪神2,曇,11,鳴尾記念(G2),15,7,12,87.6,12,14,宝来城多,57,芝2000,良,2:04.6,3.2,12-12-9-14,36.1-35.9,38.2,482(-2),バブルガムフェロー,&nbsp;
2,1997/05/24,2中京3,雨,11,金鯱賞(G2),9,5,5,14.0,5,3,宝来城多,57,芝2000,良,2:02.6,0.3,6-6-6-8,36.2-36.7,36.3,484(+4),ゼネラリスト,"1,610.6"
3,1997/04/19,3京都1,晴,11,オーストラリアT(OP),17,1,1,20.9,10,11,塩村克己,57,芝2000,良,1:58.4,0.9,14-15-14-11,35.5-35.2,35.1,480(+6),ゼネラリスト,&nbsp;
4,1997/03/16,1中京6,曇,11,トヨタ賞中京記念(G3),16,8,16,7.7,4,4,宝来城多,57.5,芝2000,稍,2:02.8,0.6,12-11-12-11,36.1-36.8,36.3,474(0),アロハドリーム,660.0
5,1997/03/01,1中京1,晴,11,中日新聞杯(G3),16,3,5,5.0,2,1,宝来城多,57,芝1800,良,1:48.7,-0.1,9-9-11-11,36.8-35.4,34.7,474(-6),(マンノチャレンジ),"4,360.2"
6,1997/02/16,1小倉8,曇,11,小倉大賞典(G3),16,6,11,5.2,2,4,宝来城多,56,芝1800,良,1:48.5,0.1,10-9-10-5,36.4-35.4,34.8,480(0),オースミマックス,650.0
7,1997/01/05,1京都1,雨,11,スポニチ賞京都金杯(G3),16,5,9,41.5,10,7,宝来城多,56,芝2000,良,2:03.0,0.7,11-10-13-11,37.1-36.2,36.0,480(+8),イシノサンデー,&nbsp;
8,1996/12/08,3中京6,晴,11,愛知杯(G3),16,3,5,16.8,9,1,宝来城多,55,芝2000,良,2:00.8,-0.2,11-9-9-8,34.5-37.0,36.3,472(-2),(ボストンエンペラー),"4,161.6"
9,1996/11/17,4新潟8,晴,11,福島記念(G3),14,5,7,10.9,7,8,植野貴也,56,芝2000,稍,2:03.4,1.6,8-8-11-8,37.1-36.8,37.2,474(0),マイヨジョンヌ,&nbsp;
10,1996/10/20,3新潟8,曇,11,カブトヤマ記念(G3),15,2,3,33.9,10,3,植野貴也,56,芝1800,稍,1:49.1,0.8,10-8-10-9,35.5-36.4,36.7,474(+2),スガノオージ,"1,008.3"
11,1996/07/21,2小倉4,晴,11,TV西日本北九州記念(G3),13,6,9,21.0,9,12,宝来城多,56,芝1800,良,1:49.4,1.2,6-7-11-12,37.3-35.5,35.9,472(-6),マジックキス,&nbsp;
12,1996/06/09,2中京8,小雨,11,東海テレビ杯金鯱賞(G2),13,3,3,12.7,6,5,宝来城多,57,芝2000,良,2:02.7,1.3,6-6-10-8,34.8-36.3,37.0,478(+2),フジヤマケンザン,640.0
13,1996/05/12,1新潟8,曇,11,新潟大賞典(G3),14,3,4,13.7,6,3,宝来城多,56,芝2000,重,2:02.2,0.1,7-8-8-7,36.7-37.0,36.2,476(0),マイヨジョンヌ,"1,007.6"
14,1996/03/17,1中京6,曇,11,トヨタ賞中京記念(G3),16,2,4,4.6,1,2,宝来城多,55,芝2000,稍,2:02.3,0.1,6-6-5-3,35.4-36.8,36.5,476(0),イナズマタカオー,"1,818.6"
15,1996/03/02,1中京1,曇,11,中日新聞杯(G3),16,6,12,4.4,1,1,宝来城多,54,芝1800,良,1:48.3,-0.4,9-8-7-5,35.1-37.6,36.7,476(+2),(メルシーステージ),"4,158.8"
16,1996/01/28,1小倉2,曇,10,太宰府特別(900万下),16,7,13,10.3,6,1,宝来城多,55,芝1800,良,1:47.1,-0.2,8-9-10-6,34.5-36.6,36.1,474(0),(アオイコマチ),"1,417.8"
17,1995/12/10,4中京6,晴,12,4歳以上500万下,14,7,12,3.9,2,1,宝来城多,57,芝1800,良,1:49.8,-0.6,8-8-4-4,36.6-35.8,35.5,474(-2),(リメインスター),740.0
18,1995/11/18,3新潟7,晴,10,瓢湖特別(500万下),12,5,6,13.1,5,2,宝来城多,57,芝2000,良,2:03.6,0.0,6-6-4-5,35.8-37.2,36.9,476(+2),オースミバイアモン,409.6
19,1995/10/28,3新潟1,晴,10,尖閣湾特別(500万下),15,8,14,22.3,4,5,大崎昭一,57,芝2000,良,2:04.0,0.5,8-4-5-5,37.0-37.2,37.3,474(+12),オースミベスト,100.0
20,1995/10/07,2新潟3,曇,10,新津特別(500万下),16,6,12,13.7,7,4,大崎昭一,57,芝2000,良,2:02.6,0.4,9-6-8-6,37.5-36.5,36.5,462(+2),オレンジシェード,150.0
21,1995/09/17,6京都4,曇,9,円山特別(500万下),18,7,13,19.2,6,9,角田晃一,57,芝2000,良,2:01.5,1.7,16-16-14-13,35.3-35.9,36.4,460(-4),ワンダーピーアン,&nbsp;
22,1995/08/27,3小倉6,曇,8,4歳以上500万下,11,5,5,3.5,2,3,飯田祐史,56,芝1800,稍,1:50.3,0.2,9-10-8-6,36.6-37.5,36.8,464(0),コンバットフローラ,190.0
23,1995/08/05,2小倉7,晴,9,牧園特別(500万下),9,4,4,4.5,2,3,塩村克己,57,芝1700,良,1:42.9,0.3,3-5-3-4,31.1-35.5,35.4,464(-6),シロキタゴールド,253.7
24,1995/07/22,2小倉3,雨,12,4歳以上500万下,16,8,16,9.9,4,3,塩村克己,57,芝1800,稍,1:52.4,0.1,4-5-3-3,37.6-37.6,37.4,470(+8),シロキタゴールド,190.0
25,1995/07/02,3中京6,曇,10,浜名湖特別(900万下),11,3,3,19.0,5,10,飯田祐史,54,芝2000,良,2:04.0,1.5,7-7-8-9,35.7-36.7,37.4,462(-2),トウカイタロー,&nbsp;
26,1995/06/03,2中京5,雨,11,三木特別(900万下),9,7,7,15.9,7,3,小谷内秀,56,芝2000,良,2:02.4,1.0,6-7-9-8,35.7-36.0,36.3,464(-14),ハセノライジン,353.4
27,1995/05/13,1福島7,小雨,11,渡利特別(900万下),12,4,4,30.2,9,3,小谷内秀,56,芝2000,不,2:07.7,2.6,9-9-9-6,36.0-39.1,40.6,478(+16),カミノシンゲキ,355.0
28,1995/04/23,1福島2,曇,8,4歳以上500万下,14,2,2,4.3,3,1,小谷内秀,56,芝1800,良,1:50.7,0.0,8-8-7-3,36.6-37.4,37.1,462(-8),(ピノキオダンディ),740.0
29,1995/03/19,1中京6,曇,8,4歳以上500万下,15,3,5,5.0,2,3,飯田祐史,55,芝1800,良,1:50.6,0.3,13-12-8-7,37.3-36.6,35.7,470(0),スズカジュピター,190.0
30,1995/03/05,1中京2,晴,8,4歳以上500万下,14,4,5,3.7,2,2,飯田祐史,55,芝2000,良,2:02.5,0.1,6-6-5-4,36.5-36.8,36.4,470(+2),シロキタガンバ,300.0
31,1995/02/11,1小倉5,晴,7,4歳以上500万下,16,8,16,3.8,2,3,小谷内秀,56,芝1800,良,1:50.9,0.1,6-7-7-5,37.0-36.6,36.3,468(+2),コンバットフローラ,190.0
32,1995/01/29,1小倉2,曇,12,4歳以上500万下,16,1,1,7.0,2,7,小谷内秀,56,芝1800,良,1:50.1,0.6,15-15-15-8,36.0-36.7,36.4,466(+4),ハッピーホリデー,&nbsp;
33,1994/12/11,4中京6,小雨,12,4歳以上500万下,16,8,15,10.6,3,2,塩村克己,55,芝1800,良,1:50.1,0.0,7-8-5-5,36.5-37.0,36.5,462(0),ナイススイート,290.0
34,1994/11/27,4中京2,晴,12,4歳以上500万下,15,6,11,11.7,4,3,塩村克己,55,芝1800,良,1:49.1,0.4,13-13-9-7,36.5-36.7,35.7,462(-4),マイネルハーベスト,180.0
35,1994/11/12,1京都3,晴,5,4歳以上500万下,12,8,11,29.0,10,8,飯田祐史,54,芝2000,良,2:01.2,1.1,11-11-9-11,36.2-35.5,35.5,466(+6),ウメノレインボー,&nbsp;
36,1994/10/22,6阪神5,晴,8,4歳以上500万下,13,4,4,11.7,5,5,飯田祐史,54,芝2000,良,2:02.4,1.7,9-8-6-10,35.4-36.4,37.1,460(+4),メジロスズマル,73.0
37,1994/10/02,3中京8,晴,9,二見ケ浦特別(500万下),14,6,10,23.5,8,9,飯田祐史,55,芝2000,良,2:03.1,1.0,14-13-14-14,36.4-36.7,36.8,456(-4),ヤマニンバイタル,&nbsp;
38,1994/09/11,3中京2,曇,2,4歳未勝利,14,4,5,2.3,1,1,飯田祐史,54,芝1800,良,1:51.1,0.0,6-6-7-7,36.9-36.1,35.6,460(+6),(サニーメンデス),500.0
39,1994/08/13,4小倉1,曇,7,4歳未勝利,12,2,2,2.2,1,3,飯田祐史,54,芝2000,良,2:05.8,0.3,8-8-6-3,36.6-38.4,37.7,454(-2),ピアジュピター,130.0
40,1994/07/23,3小倉3,晴,6,4歳未勝利,11,8,11,7.0,5,2,飯田祐史,54,芝2000,良,2:02.8,0.0,10-10-8-5,36.4-38.0,37.0,456(-2),ケルンパレス,200.0
41,1994/07/10,2中京8,晴,3,4歳未勝利,18,6,11,48.1,12,2,飯田祐史,54,芝2000,良,2:04.1,0.3,18-18-17-14,35.2-38.0,37.2,458(-2),ライトソング,200.0
42,1994/06/26,2中京4,曇,6,4歳未勝利,18,1,2,115.3,17,6,飯田祐史,54,芝2000,良,2:03.4,1.5,12-15-11-11,34.9-37.1,37.2,460(-6),オレンジシェード,&nbsp;
43,1994/06/04,5阪神5,晴,1,4歳未勝利,11,7,9,89.0,8,7,飯田祐史,54,ダ1800,良,1:57.8,2.1,8-9-9-8,38.6-38.4,38.9,466(-4),セフティーヤシマ,&nbsp;
44,1994/05/22,5阪神2,晴,4,4歳未勝利,14,1,1,37.3,9,10,飯田祐史,54,芝2000,良,2:05.8,2.5,12-14-14-14,37.3-36.2,36.9,470(-4),ジョーエクセレント,&nbsp;
45,1994/05/08,4阪神6,晴,6,4歳未勝利,14,7,12,36.7,8,8,高橋康之,53,芝1600,良,1:38.7,1.4,7-8-8,35.7-37.1,37.6,474(+2),ポピーデイ,&nbsp;
46,1994/04/02,3阪神3,晴,3,4歳未出走,16,6,12,165.2,16,14,飯田祐史,53,ダ1200,不,1:19.6,5.3,15-16,37.4-36.9,40.6,472(0),アドマイヤコール,&nbsp;
