,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2019/03/24,2中京6,晴,11,高松宮記念(G1),18,1,1,80.5,10,17,藤田菜七,57,芝1200,良,1:09.2,1.9,15-16,33.2-34.1,34.7,514(-4),ミスターメロディ,&nbsp;
1,2019/03/02,2中山3,晴,11,夕刊フジオーシャンS(G3),16,2,3,132.0,14,15,内田博幸,57,芝1200,良,1:08.9,1.8,13-13,32.3-34.8,35.1,518(+6),モズスーパーフレア,&nbsp;
2,2018/09/30,4中山9,雨,11,スプリンターズS(G1),16,2,4,100.3,14,15,大野拓弥,57,芝1200,稍,1:10.3,2.0,9-9,33.0-35.3,36.4,512(0),ファインニードル,&nbsp;
3,2018/07/01,3中京2,晴,11,CBC賞(G3),18,6,11,49.1,12,12,和田竜二,58,芝1200,良,1:07.6,0.6,18-18,32.7-34.3,33.0,512(-6),アレスバローズ,&nbsp;
4,2018/06/07,門別,晴,11,北海道スプリントカッ(G3),16,5,10,10.1,5,3,五十嵐冬,59,ダ1200,良,1:13.0,0.1,6-7,0.0-38.2,37.6,518(+3),テーオーヘリオス,330.0
5,2018/04/18,大井,晴,11,東京スプリント競走(G3),16,3,5,18.9,8,7,大野拓弥,58,ダ1200,不,1:12.8,1.0,14-13,34.4-37.4,37.5,515(+5),グレイスフルリープ,&nbsp;
6,2018/03/25,2中京6,晴,11,高松宮記念(G1),18,2,4,130.0,15,9,大野拓弥,57,芝1200,良,1:09.0,0.5,13-13,33.3-35.2,34.3,510(-8),ファインニードル,&nbsp;
7,2018/03/03,2中山3,晴,11,夕刊フジオーシャンS(G3),16,6,11,18.9,8,11,大野拓弥,57,芝1200,良,1:08.9,0.6,13-14,33.5-34.8,34.0,518(+2),キングハート,&nbsp;
8,2017/12/10,5中山4,晴,11,カペラS(G3),16,8,15,17.7,8,2,大野拓弥,58,ダ1200,良,1:11.1,0.1,9-10,34.0-37.0,36.5,516(+4),ディオスコリダー,"1,416.2"
9,2017/11/03,大井,晴,8,JBCスプリント競走(G1),16,4,8,12.3,7,7,大野拓弥,57,ダ1200,重,1:11.9,0.5,7-6,34.6-36.8,36.9,512(+2),ニシケンモノノフ,&nbsp;
10,2017/10/01,4中山9,曇,11,スプリンターズS(G1),16,1,1,103.3,16,4,大野拓弥,57,芝1200,良,1:07.7,0.1,12-12,33.9-33.7,33.0,510(+6),レッドファルクス,"1,500.0"
11,2017/09/10,4阪神2,晴,11,産経賞セントウルS(G2),14,7,11,23.3,7,8,大野拓弥,57,芝1200,良,1:08.1,0.6,8-7,33.8-33.7,33.3,504(-8),ファインニードル,&nbsp;
12,2017/07/02,3中京2,雨,11,CBC賞(G3),18,6,11,34.2,12,5,大野拓弥,58,芝1200,良,1:08.3,0.3,15-15,33.2-34.8,33.5,512(-2),シャイニングレイ,390.0
13,2017/06/08,門別,曇,11,北海道スプリントカッ(G3),16,5,9,6.0,3,3,大野拓弥,59,ダ1200,不,1:10.2,0.8,10-8,&nbsp;,35.3,514(+2),ニシケンモノノフ,330.0
14,2017/03/26,2中京6,小雨,11,高松宮記念(G1),18,6,11,62.6,11,7,大野拓弥,57,芝1200,稍,1:09.4,0.7,11-12,33.8-34.9,34.5,512(-2),セイウンコウセイ,&nbsp;
15,2017/03/04,2中山3,曇,11,夕刊フジオーシャンS(G3),16,5,10,14.6,6,8,大野拓弥,57,芝1200,良,1:08.7,0.4,13-11,33.6-34.7,34.0,514(+4),メラグラーナ,&nbsp;
16,2016/12/24,5阪神8,晴,11,阪神C(G2),15,5,9,47.6,10,14,大野拓弥,57,芝1400,稍,1:23.4,1.5,8-10,34.9-35.4,36.1,510(0),シュウジ,&nbsp;
17,2016/11/20,5京都6,曇,11,マイルチャンピオンS(G1),18,2,3,61.7,12,17,大野拓弥,57,芝1600,良,1:35.7,2.6,3-5,34.4-35.6,37.7,510(0),ミッキーアイル,&nbsp;
18,2016/10/02,4中山8,晴,11,スプリンターズS(G1),16,4,7,37.9,12,5,大野拓弥,57,芝1200,良,1:07.7,0.1,10-10,33.4-34.2,33.4,510(+2),レッドファルクス,980.0
19,2016/09/11,4阪神2,晴,11,セントウルS(G2),13,8,13,19.0,6,5,川田将雅,57,芝1200,良,1:07.9,0.3,2-2,33.1-34.5,34.5,508(-4),ビッグアーサー,590.0
20,2016/07/03,3中京2,曇,11,CBC賞(G3),13,3,3,9.3,5,6,大野拓弥,58.5,芝1200,良,1:07.6,0.4,10-10,33.8-33.4,33.0,512(-10),レッドファルクス,&nbsp;
21,2016/06/09,門別,雨,11,北海道スプリントカッ(G3),13,4,5,9.1,3,3,大野拓弥,59,ダ1200,不,1:10.7,0.8,5-6,&nbsp;,35.8,522(+13),ダノンレジェンド,330.0
22,2016/05/03,名古屋,曇,11,かきつばた記念(G3),10,4,4,9.2,5,5,大野拓弥,59,ダ1400,良,1:28.6,1.6,3-5-5,&nbsp;,38.9,509(-1),ノボバカラ,105.0
23,2016/03/27,2中京6,曇,11,高松宮記念(G1),18,3,5,14.9,6,7,大野拓弥,57,芝1200,良,1:07.3,0.6,8-7,32.7-34.0,33.7,510(-6),ビッグアーサー,&nbsp;
24,2016/03/05,2中山3,曇,11,夕刊フジオーシャンS(G3),16,4,7,21.3,8,3,大野拓弥,57,芝1200,良,1:07.9,0.4,12-12,32.7-34.8,34.2,516(+10),エイシンブルズアイ,"1,008.1"
