,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2012/08/19,2札幌2,晴,11,札幌記念(G2),14,1,1,21.8,7,14,横山典弘,57,芝2000,良,2:04.3,5.6,12-11-14-14,35.0-35.2,39.1,534(0),フミノイマージン,&nbsp;
1,2010/08/22,1札幌4,晴,9,札幌記念(G2),16,5,10,9.2,5,2,横山典弘,57,芝2000,良,1:59.7,0.3,2-2-2-2,34.6-35.6,35.8,534(+22),アーネストリー,"2,833.2"
2,2010/06/27,3阪神4,晴,10,宝塚記念(G1),17,5,9,8.9,5,13,安藤勝己,58,芝2200,稍,2:14.2,1.2,3-3-2-3,34.8-36.5,37.5,512(-18),ナカヤマフェスタ,&nbsp;
3,2010/03/27,3中山1,晴,11,日経賞(G2),15,8,15,3.0,1,6,横山典弘,58,芝2500,稍,2:34.4,0.3,2-2-2-2,29.8-36.5,35.5,530(+24),マイネルキッツ,&nbsp;
4,2009/05/31,3東京4,曇,10,東京優駿(G1),18,1,1,7.7,2,1,横山典弘,57,芝2400,不,2:33.7,-0.7,3-3-3-3,35.6-39.7,39.2,506(+16),(リーチザクラウン),"18,812.9"
5,2009/04/19,3中山8,晴,11,皐月賞(G1),18,1,1,1.7,1,14,横山典弘,57,芝2000,良,2:00.6,1.9,7-6-6-5,34.8-35.6,37.0,490(-10),アンライバルド,&nbsp;
6,2009/03/08,2中山4,曇,11,報知杯弥生賞(G2),10,8,10,1.3,1,1,横山典弘,56,芝2000,稍,2:03.5,-0.4,1-1-1-1,35.9-35.8,35.8,500(-4),(ミッキーペトラ),"5,491.0"
7,2008/12/27,5阪神7,晴,11,ラジオNIKKEI杯(G3),11,6,6,5.8,2,1,横山典弘,55,芝2000,良,2:01.7,-0.7,2-2-2-2,35.9-37.5,37.1,504(+10),(リーチザクラウン),"3,245.5"
8,2008/10/04,2札幌7,晴,11,札幌2歳S(G3),14,3,4,4.0,1,1,横山典弘,55,芝1800,良,1:49.1,-0.2,7-7-6-5,36.0-36.8,36.0,494(+26),(イグゼキュティヴ),"3,249.7"
9,2008/07/06,3阪神6,晴,4,2歳新馬,12,6,8,2.9,2,1,武豊,54,芝1800,良,1:49.1,-0.1,3-4,36.8-35.2,34.4,468(0),(プロスアンドコンズ),700.0
